,precision,recall,f1-score,support
dress,0.8181818181818182,0.6,0.6923076923076923,15.0
hat,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
longsleeve,0.7435897435897436,0.8055555555555556,0.7733333333333333,72.0
outwear,0.7368421052631579,0.7368421052631579,0.7368421052631579,38.0
pants,0.8571428571428571,1.0,0.9230769230769231,42.0
shirt,0.6666666666666666,0.38461538461538464,0.4878048780487805,26.0
shoes,1.0,0.9863013698630136,0.993103448275862,73.0
shorts,0.9230769230769231,0.8,0.8571428571428571,30.0
skirt,0.8461538461538461,0.9166666666666666,0.88,12.0
t-shirt,0.8620689655172413,0.9615384615384616,0.9090909090909091,52.0
accuracy,0.8467741935483871,0.8467741935483871,0.8467741935483871,0.8467741935483871
macro avg,0.837038959225892,0.8108186210168906,0.8169368813206181,372.0
weighted avg,0.8435974790257327,0.8467741935483871,0.840215961543724,372.0
